mobile_wt,ram_gb,fc,pc,num_rear_cameras,battery_power,screen_size,launched_year,price_range,brand_Apple,brand_Google,brand_Honor,brand_Huawei,brand_Infinix,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_POCO,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
190.0,4.0,13.0,50.0,2,5000.0,6.6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188.0,4.0,5.0,50.0,2,5000.0,6.5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188.0,4.0,5.0,50.0,2,5000.0,6.5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202.0,8.0,32.0,108.0,2,6000.0,6.7,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202.0,8.0,32.0,108.0,2,6000.0,6.7,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.0,6.0,13.0,50.0,2,6000.0,6.5,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.0,6.0,13.0,50.0,2,6000.0,6.5,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202.0,4.0,13.0,50.0,2,6000.0,6.6,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202.0,4.0,13.0,50.0,2,6000.0,6.6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188.0,4.0,5.0,13.0,2,5000.0,6.5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188.0,4.0,5.0,13.0,2,5000.0,6.5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.0,8.0,32.0,108.0,2,6000.0,6.7,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.0,8.0,32.0,108.0,2,6000.0,6.7,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190.0,6.0,13.0,50.0,2,6000.0,6.5,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190.0,6.0,13.0,50.0,2,6000.0,6.5,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198.0,4.0,13.0,50.0,2,6000.0,6.6,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198.0,4.0,13.0,50.0,2,6000.0,6.6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208.0,12.0,10.0,108.0,2,4500.0,6.9,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208.0,12.0,10.0,108.0,2,4500.0,6.9,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192.0,8.0,10.0,108.0,2,4300.0,6.7,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192.0,8.0,10.0,108.0,2,4300.0,6.7,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196.0,12.0,10.0,16.0,2,4300.0,6.8,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196.0,12.0,10.0,16.0,2,4300.0,6.8,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168.0,8.0,10.0,16.0,2,3500.0,6.3,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168.0,8.0,10.0,16.0,2,3500.0,6.3,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
235.0,6.0,13.0,50.0,1,4050.0,6.6,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
172.0,4.0,5.0,16.0,1,3000.0,5.3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
191.0,4.0,16.0,16.0,2,3500.0,6.0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181.0,3.0,13.0,13.0,1,3600.0,5.5,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
178.0,4.0,8.0,13.0,2,3300.0,6.0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175.0,2.0,5.0,13.0,1,3000.0,5.5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189.0,6.0,16.0,16.0,2,4000.0,6.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165.0,4.0,16.0,16.0,1,3300.0,5.7,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
