weight_g,screen_inches,announced_year,main_camera_mp,ram_gb,storage_gb,battery_mah,has_nfc,has_5g,wlan_dual_band,has_gps,card_slot,brand_price_tier,price_range
155.0,5.2,2014.0,13.0,2.0,16.0,2000.0,0,0,1,1,0,337.48014438304824,3
192.0,5.5,2014.0,16.0,2.0,32.0,3000.0,1,0,0,1,1,332.60824688730986,3
140.0,5.0,2014.0,13.0,1.0,16.0,2410.0,0,0,0,1,0,321.4494768549128,2
128.0,4.5,2014.0,5.0,1.0,4.0,1900.0,0,0,0,1,1,342.06834901121607,0
128.0,4.7,2014.0,8.0,1.0,4.0,2000.0,0,0,0,1,1,337.48014438304824,2
145.0,4.7,2014.0,5.0,1.0,4.0,1900.0,0,0,0,1,1,332.60824688730986,1
132.5,4.5,2014.0,5.0,1.0,4.0,1900.0,0,0,0,1,1,332.60824688730986,1
140.0,5.0,2014.0,8.0,1.0,8.0,2410.0,0,0,0,1,1,342.06834901121607,2
150.0,5.0,2014.0,13.0,2.0,16.0,2140.0,0,0,0,1,0,342.06834901121607,3
171.0,5.5,2014.0,13.0,3.0,32.0,3000.0,1,0,1,1,1,342.06834901121607,3
170.0,5.5,2014.0,13.0,2.0,16.0,2800.0,1,0,1,1,1,332.60824688730986,3
140.0,5.0,2013.0,8.0,1.0,16.0,2410.0,0,0,0,1,0,342.06834901121607,3
213.0,5.9,2013.0,13.0,2.0,32.0,3610.0,1,0,0,1,0,331.26182520169226,3
110.0,4.7,2013.0,8.0,1.0,16.0,2000.0,0,0,0,1,0,342.06834901121607,2
141.5,4.3,2013.0,5.0,1.0,4.0,1700.0,0,0,0,1,1,331.26182520169226,0
160.0,5.5,2017.0,13.0,3.0,32.0,3000.0,0,0,0,1,1,266.9185716942149,0
206.0,6.67,2020.0,8.0,4.0,128.0,5000.0,1,0,1,1,1,251.08788233884297,2
171.5,6.3,2020.0,16.0,4.0,128.0,4000.0,1,0,1,1,0,240.01860576258454,1
232.0,7.09,2020.0,8.0,8.0,128.0,5000.0,1,1,1,1,0,241.34661667077833,2
192.0,6.5,2020.0,16.0,8.0,128.0,4000.0,0,1,1,1,0,238.5937704726693,2
146.0,5.71,2020.0,13.0,3.0,64.0,3020.0,0,0,0,1,1,241.50169667167546,0
213.0,6.81,2020.0,16.0,8.0,128.0,4300.0,0,1,1,1,1,241.34661667077833,2
203.0,6.63,2020.0,16.0,8.0,128.0,4300.0,0,1,1,1,0,241.50169667167546,2
